	16.3515978313	C0
16.8377561337	17.3239144361	C#0
17.8389812154	18.3540479948	D0
18.8997422387	19.4454364826	D#0
20.0235793948	20.6017223071	E0
21.2142433858	21.8267644646	F0
22.475707942	23.1246514195	F#0
23.8121830842	24.4997147489	G0
25.2281291738	25.9565435987	G#0
26.7282717994	27.5	A0
28.3176175474	29.1352350949	A#0
30.0014707117	30.8677063285	B0
31.7854509955	32.7031956626	C1
33.6755122673	34.6478288721	C#1
35.6779624309	36.7080959897	D1
37.7994844775	38.8908729653	D#1
40.0471587897	41.2034446141	E1
42.4284867716	43.6535289291	F1
44.951415884	46.249302839	F#1
47.6243661683	48.9994294977	G1
50.4562583476	51.9130871975	G#1
53.4565435987	55	A1
56.6352350949	58.2704701898	A#1
60.0029414234	61.735412657	B1
63.5709019911	65.4063913251	C2
67.3510245347	69.2956577442	C#2
71.3559248618	73.4161919794	D2
75.5989689549	77.7817459305	D#2
80.0943175794	82.4068892282	E2
84.8569735432	87.3070578583	F2
89.9028317681	92.4986056779	F#2
95.2487323367	97.9988589954	G2
100.9125166952	103.826174395	G#2
106.9130871975	110	A2
113.2704701898	116.5409403795	A#2
120.0058828468	123.470825314	B2
127.1418039822	130.8127826503	C3
134.7020490694	138.5913154884	C#3
142.7118497236	146.8323839587	D3
151.1979379099	155.563491861	D#3
160.1886351587	164.8137784564	E3
169.7139470865	174.6141157165	F3
179.8056635362	184.9972113558	F#3
190.4974646733	195.9977179909	G3
201.8250333904	207.65234879	G#3
213.826174395	220	A3
226.5409403795	233.081880759	A#3
240.0117656936	246.9416506281	B3
254.2836079643	261.6255653006	C4
269.4040981387	277.1826309769	C#4
285.4236994471	293.6647679174	D4
302.3958758197	311.1269837221	D#4
320.3772703175	329.6275569129	E4
339.4278941729	349.228231433	F4
359.6113270723	369.9944227116	F#4
380.9949293467	391.9954359818	G4
403.6500667808	415.3046975799	G#4
427.65234879	440	A4
453.081880759	466.1637615181	A#4
480.0235313871	493.8833012561	B4
508.5672159287	523.2511306012	C5
538.8081962775	554.3652619537	C#5
570.8473988943	587.3295358348	D5
604.7917516395	622.2539674442	D#5
640.754540635	659.2551138257	E5
678.8557883459	698.456462866	F5
719.2226541446	739.9888454233	F#5
761.9898586934	783.9908719635	G5
807.3001335617	830.6093951599	G#5
855.3046975799	880	A5
906.1637615181	932.3275230362	A#5
960.0470627742	987.7666025122	B5
1017.1344318573	1046.5022612024	C6
1077.616392555	1108.7305239075	C#6
1141.6947977886	1174.6590716696	D6
1209.583503279	1244.5079348883	D#6
1281.5090812699	1318.5102276515	E6
1357.7115766918	1396.912925732	F6
1438.4453082893	1479.9776908465	F#6
1523.9797173868	1567.981743927	G6
1614.6002671234	1661.2187903198	G#6
1710.6093951599	1760	A6
1812.3275230362	1864.6550460724	A#6
1920.0941255484	1975.5332050245	B6
2034.2688637147	2093.0045224048	C7
2155.2327851099	2217.461047815	C#7
2283.3895955771	2349.3181433393	D7
2419.167006558	2489.0158697767	D#7
2563.0181625398	2637.020455303	E7
2715.4231533835	2793.825851464	F7
2876.8906165786	2959.9553816931	F#7
3047.9594347735	3135.963487854	G7
3229.2005342468	3322.4375806396	G#7
3421.2187903198	3520	A7
3624.6550460724	3729.3100921447	A#7
3840.1882510969	3951.066410049	B7
4068.5377274293	4186.0090448096	C8
4310.4655702198	4434.92209563	C#8
4566.7791911543	4698.6362866785	D8
4838.3340131159	4978.0317395533	D#8
5126.0363250796	5274.0409106059	E8
5430.846306767	5587.6517029281	F8
5753.7812331571	5919.9107633862	F#8
6095.9188695471	6271.926975708	G8
6458.4010684936	6644.8751612791	G#8
6842.4375806396	7040	A8
7249.3100921447	7458.6201842895	A#8
7680.3765021937	7902.132820098	B8

